product,date,sales
Tenzala 80,140104,0
Tenzala 80,140105,0
Tenzala 80,140106,0
Tenzala 80,140107,0
Tenzala 80,140108,0
Tenzala 80,140109,0
Tenzala 80,140110,0
Tenzala 80,140111,0
Tenzala 80,140112,0
Tenzala 80,140201,0
Tenzala 80,140202,0
Tenzala 80,140203,65
Tenzala 80,140204,139
Tenzala 80,140205,259
Tenzala 80,140206,396
Tenzala 80,140207,618
Tenzala 80,140208,822
Tenzala 80,140209,944
Tenzala 80,140210,1153
Tenzala 80,140211,1335
Tenzala 80,140212,1712
Tenzala 80,140301,1825
Tenzala 80,140302,1925
Tiagem 1000,140002,200
Tiagem 1000,140003,840
Tiagem 1000,140004,1426
Tiagem 1000,140005,2656
Tiagem 1000,140006,3391
Tiagem 1000,140007,3692
Tiagem 1000,140008,6137
Tiagem 1000,140009,6892
Tiagem 1000,140010,7683
Tiagem 1000,140011,8163
Tiagem 1000,140012,8487
Tiagem 1000,140101,9025
Tiagem 1000,140102,9483
Tiagem 1000,140103,10003
Tiagem 1000,140104,11313
Tiagem 1000,140105,12125
Tiagem 1000,140106,12928
Tiagem 1000,140107,13777
Tiagem 1000,140108,15554
Tiagem 1000,140109,18473
Tiagem 1000,140110,19231
Tiagem 1000,140111,19796
Tiagem 1000,140112,20027
Tiagem 1000,140201,20079
Tiagem 1000,140202,20127
Tiagem 1000,140203,20350
Tiagem 1000,140204,20350
Tiagem 1000,140205,20353
Tiagem 1000,140206,20378
Tiagem 1000,140207,20374
Tiagem 1000,140208,21944
Tiagem 1000,140209,24083
Tiagem 1000,140210,25301
Tiagem 1000,140211,27674
Tiagem 1000,140212,30580
Tiagem 1000,140301,31539
Tiagem 1000,140302,32668
Tiagem 200,140002,250
Tiagem 200,140003,974
Tiagem 200,140004,1580
Tiagem 200,140005,2530
Tiagem 200,140006,3485
Tiagem 200,140007,3954
Tiagem 200,140008,6400
Tiagem 200,140009,6905
Tiagem 200,140010,7493
Tiagem 200,140011,8619
Tiagem 200,140012,8930
Tiagem 200,140101,9372
Tiagem 200,140102,9989
Tiagem 200,140103,10596
Tiagem 200,140104,12584
Tiagem 200,140105,13998
Tiagem 200,140106,14715
Tiagem 200,140107,15602
Tiagem 200,140108,17377
Tiagem 200,140109,20628
Tiagem 200,140110,21381
Tiagem 200,140111,21699
Tiagem 200,140112,21831
Tiagem 200,140201,21866
Tiagem 200,140202,22010
Tiagem 200,140203,21893
Tiagem 200,140204,21966
Tiagem 200,140205,21980
Tiagem 200,140206,22255
Tiagem 200,140207,22290
Tiagem 200,140208,24345
Tiagem 200,140209,26766
Tiagem 200,140210,27548
Tiagem 200,140211,31436
Tiagem 200,140212,34208
Tiagem 200,140301,35378
Tiagem 200,140302,36525
Tinopa,140101,0
Tinopa,140102,0
Tinopa,140103,0
Tinopa,140104,0
Tinopa,140105,0
Tinopa,140106,6
Tinopa,140107,27
Tinopa,140108,47
Tinopa,140109,99
Tinopa,140110,109
Tinopa,140111,213
Tinopa,140112,273
Tinopa,140201,273
Tinopa,140202,273
Tinopa,140203,279
Tinopa,140204,303
Tinopa,140205,362
Tinopa,140206,373
Tinopa,140207,391
Tinopa,140208,375
Tinopa,140209,363
Tinopa,140210,363
Tinopa,140211,363
Tinopa,140212,363
Tinopa,140301,363
Tinopa,140302,363
Trexoma 10,139707,240
Trexoma 10,139708,347
Trexoma 10,139709,391
Trexoma 10,139710,715
Trexoma 10,139711,1112
Trexoma 10,139712,2568
Trexoma 10,139801,2974
Trexoma 10,139802,4973
Trexoma 10,139803,6627
Trexoma 10,139804,8828
Trexoma 10,139805,10258
Trexoma 10,139806,12072
Trexoma 10,139807,15956
Trexoma 10,139808,21511
Trexoma 10,139809,23501
Trexoma 10,139810,29033
Trexoma 10,139811,40491
Trexoma 10,139812,59343
Trexoma 10,139901,71930
Trexoma 10,139902,89302
Trexoma 10,139903,101936
Trexoma 10,139904,120729
Trexoma 10,139905,137370
Trexoma 10,139906,157662
Trexoma 10,139907,175711
Trexoma 10,139908,188587
Trexoma 10,139909,201440
Trexoma 10,139910,218885
Trexoma 10,139911,234757
Trexoma 10,139912,251104
Trexoma 10,140001,263857
Trexoma 10,140002,282817
Trexoma 10,140003,304867
Trexoma 10,140004,324363
Trexoma 10,140005,340312
Trexoma 10,140006,358554
Trexoma 10,140007,375520
Trexoma 10,140008,392992
Trexoma 10,140009,413262
Trexoma 10,140010,436123
Trexoma 10,140011,438676
Trexoma 10,140012,449269
Trexoma 10,140101,455993
Trexoma 10,140102,476463
Trexoma 10,140103,496613
Trexoma 10,140104,512378
Trexoma 10,140105,532683
Trexoma 10,140106,558163
Trexoma 10,140107,577628
Trexoma 10,140108,601185
Trexoma 10,140109,626675
Trexoma 10,140110,647375
Trexoma 10,140111,672440
Trexoma 10,140112,696415
Trexoma 10,140201,716320
Trexoma 10,140202,745715
Trexoma 10,140203,777105
Trexoma 10,140204,801645
Trexoma 10,140205,823515
Trexoma 10,140206,851420
Trexoma 10,140207,875245
Trexoma 10,140208,903850
Trexoma 10,140209,936275
Trexoma 10,140210,969910
Trexoma 10,140211,1006825
Trexoma 10,140212,1042490
Trexoma 10,140301,1062780
Trexoma 10,140302,1081545
Trexoma 15,139707,500
Trexoma 15,139710,847
Trexoma 15,139711,1139
Trexoma 15,139712,2430
Trexoma 15,139801,2801
Trexoma 15,139802,3902
Trexoma 15,139803,5011
Trexoma 15,139804,7106
Trexoma 15,139805,8307
Trexoma 15,139806,9981
Trexoma 15,139807,14279
Trexoma 15,139808,19767
Trexoma 15,139809,21137
Trexoma 15,139810,34216
Trexoma 15,139811,50874
Trexoma 15,139812,64839
Trexoma 15,139901,77757
Trexoma 15,139902,96543
Trexoma 15,139903,112021
Trexoma 15,139904,131541
Trexoma 15,139905,147946
Trexoma 15,139906,177518
Trexoma 15,139907,199887
Trexoma 15,139908,217795
Trexoma 15,139909,236120
Trexoma 15,139910,258616
Trexoma 15,139911,280278
Trexoma 15,139912,300422
Trexoma 15,140001,316163
Trexoma 15,140002,341272
Trexoma 15,140003,369781
Trexoma 15,140004,395709
Trexoma 15,140005,414135
Trexoma 15,140006,447609
Trexoma 15,140007,473693
Trexoma 15,140008,503318
Trexoma 15,140009,531113
Trexoma 15,140010,555598
Trexoma 15,140011,558063
Trexoma 15,140012,570818
Trexoma 15,140101,580258
Trexoma 15,140102,602138
Trexoma 15,140103,623628
Trexoma 15,140104,641023
Trexoma 15,140105,669068
Trexoma 15,140106,699983
Trexoma 15,140107,725583
Trexoma 15,140108,761168
Trexoma 15,140109,796143
Trexoma 15,140110,825448
Trexoma 15,140111,864223
Trexoma 15,140112,900723
Trexoma 15,140201,927068
Trexoma 15,140202,961048
Trexoma 15,140203,992213
Trexoma 15,140204,1026473
Trexoma 15,140205,1073193
Trexoma 15,140206,1107248
Trexoma 15,140207,1155803
Trexoma 15,140208,1195158
Trexoma 15,140209,1234933
Trexoma 15,140210,1278723
Trexoma 15,140211,1334508
Trexoma 15,140212,1379448
Trexoma 15,140301,1406848
Trexoma 15,140302,1433433
Trexoma 20,139707,500
Trexoma 20,139710,791
Trexoma 20,139711,1066
Trexoma 20,139712,2966
Trexoma 20,139801,3314
Trexoma 20,139802,4042
Trexoma 20,139803,4974
Trexoma 20,139804,6761
Trexoma 20,139805,8289
Trexoma 20,139806,11536
Trexoma 20,139807,16635
Trexoma 20,139808,20821
Trexoma 20,139809,25723
Trexoma 20,139810,41691
Trexoma 20,139811,61334
Trexoma 20,139812,79153
Trexoma 20,139901,92604
Trexoma 20,139902,113991
Trexoma 20,139903,128893
Trexoma 20,139904,149975
Trexoma 20,139905,171725
Trexoma 20,139906,193478
Trexoma 20,139907,210943
Trexoma 20,139908,228366
Trexoma 20,139909,244533
Trexoma 20,139910,263256
Trexoma 20,139911,283367
Trexoma 20,139912,300889
Trexoma 20,140001,314156
Trexoma 20,140002,334717
Trexoma 20,140003,356210
Trexoma 20,140004,375547
Trexoma 20,140005,390544
Trexoma 20,140006,414156
Trexoma 20,140007,433900
Trexoma 20,140008,458729
Trexoma 20,140009,480995
Trexoma 20,140010,501986
Trexoma 20,140011,503581
Trexoma 20,140012,514950
Trexoma 20,140101,521302
Trexoma 20,140102,545027
Trexoma 20,140103,564507
Trexoma 20,140104,581592
Trexoma 20,140105,604250
Trexoma 20,140106,626925
Trexoma 20,140107,646440
Trexoma 20,140108,667965
Trexoma 20,140109,694625
Trexoma 20,140110,711170
Trexoma 20,140111,734300
Trexoma 20,140112,759425
Trexoma 20,140201,779115
Trexoma 20,140202,803960
Trexoma 20,140203,835760
Trexoma 20,140204,848395
Trexoma 20,140205,883590
Trexoma 20,140206,900050
Trexoma 20,140207,936205
Trexoma 20,140208,964045
Trexoma 20,140209,982465
Trexoma 20,140210,1009475
Trexoma 20,140211,1039675
Trexoma 20,140212,1069010
Trexoma 20,140301,1087610
Trexoma 20,140302,1103600
Trexoma 25,139809,769
Trexoma 25,139810,3925
Trexoma 25,139811,6850
Trexoma 25,139812,11258
Trexoma 25,139901,16510
Trexoma 25,139902,23502
Trexoma 25,139903,27823
Trexoma 25,139904,35021
Trexoma 25,139905,43457
Trexoma 25,139906,50921
Trexoma 25,139907,56030
Trexoma 25,139908,62340
Trexoma 25,139909,66697
Trexoma 25,139910,71982
Trexoma 25,139911,77693
Trexoma 25,139912,83555
Trexoma 25,140001,87226
Trexoma 25,140002,93602
Trexoma 25,140003,100081
Trexoma 25,140004,107635
Trexoma 25,140005,113824
Trexoma 25,140006,121030
Trexoma 25,140007,127939
Trexoma 25,140008,134950
Trexoma 25,140009,144811
Trexoma 25,140010,150493
Trexoma 25,140011,151084
Trexoma 25,140012,153635
Trexoma 25,140101,155474
Trexoma 25,140102,162581
Trexoma 25,140103,169053
Trexoma 25,140104,173712
Trexoma 25,140105,181440
Trexoma 25,140106,191074
